eventId;firPlace;eventType;eventTitleFemale0;teamQnt;prizeUSD;maxPrizeUSD;endDate
2093;0;Other;False;9;0;0;2016-01-13
2105;0;Other;False;10;0;0;2016-01-12
2101;1500;Other;False;4;0;0;2016-01-12
2046;0;Other;False;9;0;0;2016-01-12
2104;0;Other;False;16;0;0;2016-01-10
2103;1159;Other;False;4;0;0;2016-01-10
2009;3974;Reg. LAN;False;10;0;0;2016-01-10
2024;0;Other;False;43;0;0;2016-01-10
2056;9400;Reg. LAN;False;4;15000;15000;2016-01-09
2097;0;Other;False;15;0;0;2016-01-09
2096;0;Other;False;8;0;0;2016-01-09
2094;0;Other;False;13;0;0;2016-01-09
2098;0;Other;False;5;0;0;2016-01-08
2080;35000;Intl. LAN;False;2;50000;50000;2016-01-07
2092;0;Online;False;16;0;0;2015-12-27
2091;0;Other;False;4;0;0;2015-12-23
2090;0;Other;False;4;0;0;2015-12-22
1939;2834;Online;False;16;5000;5000;2015-09-15
2087;0;Other;False;4;0;0;2015-12-20
2060;8163;Reg. LAN;False;8;15000;15000;2015-12-20
2057;0;Local LAN;False;8;0;0;2015-12-20
2020;0;Other;False;8;0;0;2015-12-20
2088;0;Other;False;6;0;0;2015-12-19
2089;0;Other;False;8;0;0;2015-12-19
2082;0;Other;False;8;0;0;2015-12-19
2051;0;Other;False;8;0;0;2015-12-19
2084;0;Other;False;5;0;0;2015-12-18
2083;0;Other;False;8;0;0;2015-12-18
2081;0;Other;False;8;0;0;2015-12-18
1970;97282;Online;False;36;200000;200000;2015-10-14
2079;0;Other;False;8;0;0;2015-12-17
2085;0;Other;False;2;0;0;2015-12-16
2078;0;Other;False;4;0;0;2015-12-16
2076;0;Other;False;8;0;0;2015-12-16
2075;0;Other;False;4;0;0;2015-12-16
2073;0;Other;False;4;0;0;2015-12-15
2065;0;Other;False;8;0;0;2015-12-15
1942;25691;Online;False;16;50000;50000;2015-09-16
2074;0;Other;False;4;0;0;2015-12-13
2066;1029;Local LAN;False;4;2000;2000;2015-12-13
2067;653;Local LAN;False;12;1300;1300;2015-12-13
1986;100000;Intl. LAN;False;8;250000;250000;2015-12-13
2032;0;Other;False;10;0;0;2015-12-13
2058;0;Other;False;5;0;0;2015-12-10
2050;0;Other;False;8;0;0;2015-12-10
2054;10000;Reg. LAN;False;8;20000;20000;2015-12-06
2053;4351;Local LAN;False;8;8500;8500;2015-12-06
1608;25800;Intl. LAN;False;4;59000;59000;2015-12-06
2022;0;Other;False;16;0;0;2015-12-06
2055;4351;Other;False;4;0;0;2015-12-05
2052;0;Local LAN;False;8;4000;4000;2015-12-05
2048;0;Other;False;8;0;0;2015-12-04
2043;0;Other;False;5;0;0;2015-12-03
2045;0;Other;False;4;0;0;2015-12-02
2044;0;Other;False;4;0;0;2015-12-01
2040;0;Other;False;2;0;0;2015-12-01
