matchlinkId;map;teamAId;teamBId
2297823;Overpass;5093;6302
2297811;Cache;6094;6237
2297811;Mirage;6094;6237
2297818;Cache;6260;6114
2297812;Mirage;6138;4682
2297812;Dust2;6138;4682
2297819;Overpass;4554;5617
2297824;Mirage;6134;4608
2297824;Dust2;6134;4608
2297824;Inferno;6134;4608
2297814;Mirage;6167;6213
2297814;Train;6167;6213
2297826;Cache;5595;6324
2297826;Inferno;5595;6324
2297817;Cobblestone;6137;6245
2297817;Overpass;6137;6245
2297820;Dust2;4445;6298
2297821;Inferno;6297;6225
2297834;Overpass;5284;5378
2297834;Train;5284;5378
2297834;Inferno;5284;5378
2297827;Cache;6301;6292
2297827;Dust2;6301;6292
2297835;Dust2;4494;6266
2297825;Cache;6127;6226
2297846;Overpass;5378;6226
2297845;Cobblestone;4608;4494
2297839;Cache;5093;6324
2297837;Cache;5195;6154
2297840;Dust2;5595;6302
2297840;Train;5595;6302
2297840;Mirage;5595;6302
2297847;Train;6134;5284
2297847;Dust2;6134;5284
2297847;Mirage;6134;5284
2297843;Inferno;4532;6327
2297843;Mirage;4532;6327
2297843;Overpass;4532;6327
2297844;Overpass;5310;5599
2297844;Train;5310;5599
2297836;Cobblestone;5524;5208
2297836;Inferno;5524;5208
2297841;Mirage;6324;6302
2297848;Mirage;4608;5378
2297842;Cache;5595;6324
2297828;Dust2;6290;6132
2297828;Train;6290;6132
2297849;Overpass;5284;4608
2297852;Dust2;5974;6164
2297852;Cobblestone;5974;6164
2297850;Mirage;6134;4608
2297829;Cobblestone;5974;5973
2297829;Overpass;5974;5973
2297856;Cobblestone;6137;6264
2297856;Train;6137;6264
2297853;Cache;5319;6302
2297853;Overpass;5319;6302
2297859;Overpass;5355;5395
2297859;Cache;5355;5395
2297857;Mirage;4532;6245
2297857;Dust2;4532;6245
2297854;Cobblestone;5319;5579
2297854;Mirage;5319;5579
2297866;Cache;5801;6221
2297866;Mirage;5801;6221
2297866;Dust2;5801;6221
2297855;Cache;6237;6094
2297855;Mirage;6237;6094
2297861;Cobblestone;5422;5310
2297861;Overpass;5422;5310
2297860;Cache;5093;6030
2297860;Dust2;5093;6030
2297858;Mirage;6264;4532
2297838;Overpass;6137;5988
2297838;Inferno;6137;5988
2297862;Cache;6132;5973
2297862;Overpass;6132;5973
2297865;Mirage;5479;6261
2297865;Dust2;5479;6261
2297863;Mirage;6290;5974
2297863;Cobblestone;6290;5974
2297863;Overpass;6290;5974
2297867;Inferno;6290;6191
2297867;Overpass;6290;6191
2297830;Cobblestone;5991;5752
2297831;Mirage;5378;4411
2297832;Cobblestone;4991;5284
2297833;Overpass;5996;4608
2297870;Mirage;6137;6245
2297870;Overpass;6137;6245
2297870;Train;6137;6245
2297876;Cache;5991;5378
2297869;Mirage;6226;6094
2297869;Dust2;6226;6094
2297869;Cache;6226;6094
2297877;Dust2;5752;4411
2297873;Mirage;5988;5395
2297873;Inferno;5988;5395
2297878;Dust2;4991;5996
2297871;Mirage;4532;6245
2297874;Mirage;5422;5395
2297874;Inferno;5422;5395
2297872;Dust2;6137;6245
2297872;Cobblestone;6137;6245
2297879;Cobblestone;5284;4608
2297875;Cache;5973;5974
2297875;Dust2;5973;5974
2297875;Mirage;5973;5974
2297875;Train;5973;5974
2297875;Overpass;5973;5974
2297881;Inferno;5005;6132
2297881;Dust2;5005;6132
2297882;Dust2;5991;4411
2297882;Inferno;5991;4411
2297883;Train;4991;5284
2297883;Inferno;4991;5284
2297884;Mirage;6192;6248
2297885;Cache;6109;5742
2297886;Inferno;6342;6195
2297892;Overpass;6226;4742
2297892;Mirage;6226;4742
2297892;Dust2;6226;4742
2297889;Dust2;5996;4411
2297889;Mirage;5996;4411
2297889;Inferno;5996;4411
2297887;Dust2;6349;6350
2297894;Dust2;6248;6109
2297893;Cache;6094;4742
2297893;Mirage;6094;4742
2297904;Mirage;6195;6349
2297890;Cobblestone;5378;4991
2297890;Train;5378;4991
2297890;Cache;5378;4991
2297891;Cache;6226;6237
2297891;Dust2;6226;6237
2297888;Overpass;6290;5973
2297888;Cobblestone;6290;5973
2297888;Cache;6290;5973
2297888;Mirage;6290;5973
2297895;Train;6261;5005
2297895;Dust2;6261;5005
2297897;Cobblestone;6334;6292
2297897;Inferno;6334;6292
2297896;Dust2;5479;6132
2297896;Overpass;5479;6132
2297896;Inferno;5479;6132
2297909;Cache;6292;5479
2297909;Mirage;6292;5479
2297909;Dust2;6292;5479
2297905;Cache;6353;5258
2297906;Mirage;4863;6354
2297907;Dust2;5978;6352
2297908;Cache;6108;6355
2297898;Overpass;5996;5378
2297898;Train;5996;5378
2297898;Dust2;5996;5378
2297898;Cobblestone;5996;5378
2297898;Mirage;5996;5378
2297910;Inferno;5258;4863
2297899;Dust2;5479;6334
2297899;Mirage;5479;6334
2297911;Mirage;5978;6108
2297912;Mirage;6344;5579
2297913;Mirage;6302;6324
2297914;Dust2;6051;6094
2297915;Inferno;5952;6264
2297916;Cache;4759;5093
2297917;Mirage;6124;4804
2297918;Cobblestone;5929;6360
2297900;Overpass;6290;5479
2297900;Cache;6290;5479
2297900;Cobblestone;6290;5479
2297919;Cache;4468;6358
2297901;Cobblestone;6292;6321
2297901;Dust2;6292;6321
2297902;Cobblestone;5974;5005
2297902;Cache;5974;5005
2297903;Cache;5973;6261
2297903;Train;5973;6261
2297920;Dust2;6266;5428
2297920;Mirage;6266;5428
2297921;Inferno;6265;6361
2297921;Cache;6265;6361
2297922;Inferno;6137;5952
2297922;Overpass;6137;5952
2297923;Cache;6287;6344
2297923;Mirage;6287;6344
2297923;Inferno;6287;6344
2297924;Dust2;5569;4468
2297924;Mirage;5569;4468
2297924;Cache;5569;4468
2297925;Overpass;5599;4759
2297925;Cache;5599;4759
2297926;Mirage;5395;6051
2297926;Inferno;5395;6051
2297926;Dust2;5395;6051
2297927;Cobblestone;5208;5929
2297927;Cache;5208;5929
2297928;Overpass;5422;4804
2297928;Mirage;5422;4804
2297929;Train;6222;6302
2297929;Cobblestone;6222;6302
2297935;Cobblestone;6266;6265
2297935;Inferno;6266;6265
2297935;Cache;6266;6265
2297936;Overpass;5422;6222
2297936;Inferno;5422;6222
2297938;Dust2;6137;6344
2297938;Cobblestone;6137;6344
2297939;Dust2;5208;6051
2297939;Cobblestone;5208;6051
2297937;Overpass;5599;5569
2297937;Dust2;5599;5569
2297930;Mirage;4532;6124
2297930;Cache;4532;6124
2297940;Dust2;5208;5422
2297940;Mirage;5208;5422
2297941;Cache;6344;5599
2297941;Dust2;6344;5599
2297933;Train;6290;6292
2297933;Cobblestone;6290;6292
2297933;Inferno;6290;6292
2297942;Dust2;6344;5208
2297942;Cobblestone;6344;5208
2297942;Inferno;6344;5208
2297931;Mirage;6245;4532
2297931;Cobblestone;6245;4532
2297931;Dust2;6245;4532
2297934;Overpass;4742;6237
2297934;Dust2;4742;6237
2297932;Cobblestone;5974;5973
2297932;Overpass;5974;5973
2297945;Train;6292;5974
2297945;Cobblestone;6292;5974
2297945;Mirage;6292;5974
2297946;Inferno;6290;5973
2297946;Cache;6290;5973
2297946;Mirage;6290;5973
2297953;Inferno;5105;5102
2297963;Cache;4736;6363
2297963;Cobblestone;4736;6363
2297943;Train;5595;6245
2297943;Dust2;5595;6245
2297954;Dust2;5135;5102
2297967;Dust2;6226;4682
2297958;Dust2;5058;5101
2297968;Mirage;6327;5949
2297955;Cache;5135;5139
2297969;Cache;4982;5569
2297948;Mirage;5395;4494
2297948;Dust2;5395;4494
2297956;Cache;5137;5102
2297964;Mirage;4532;6362
2297964;Train;4532;6362
2297947;Overpass;6094;6245
2297947;Mirage;6094;6245
2297947;Dust2;6094;6245
2297960;Cobblestone;5144;5142
2297970;Cache;6167;4477
2297950;Dust2;4554;6297
2297957;Mirage;5137;5115
2297961;Inferno;5142;5101
2297951;Inferno;6225;5617
2297949;Overpass;6226;5319
2297949;Cache;6226;5319
2297952;Dust2;6298;6114
2297962;Inferno;5142;5111
2297966;Dust2;5005;5479
2297966;Overpass;5005;5479
2297971;Cache;5973;6356
2297971;Train;5973;6356
2297981;Cache;6117;6165
2297965;Cache;6292;6191
2297965;Inferno;6292;6191
2298004;Cobblestone;5005;5973
2298004;Overpass;5005;5973
2297987;Dust2;5102;5115
2297982;Dust2;6226;5949
2297982;Cache;6226;5949
2297988;Cache;5139;5115
2297992;Mirage;5101;5111
2297996;Inferno;6363;6362
2297972;Train;4411;5991
2297976;Cobblestone;4991;5284
2297984;Dust2;5195;5395
2297984;Cache;5195;5395
2297989;Dust2;5139;5102
2297993;Inferno;5103;5111
2297997;Cache;4532;4736
2297997;Train;4532;4736
2297973;Cache;6137;4608
2297979;Overpass;5310;5996
2298002;Mirage;6372;6327
2298002;Overpass;6372;6327
2298011;Cobblestone;6073;6371
2297983;Cache;4982;6167
2297983;Mirage;4982;6167
2297983;Cobblestone;4982;6167
2297978;Cache;5310;5995
2297985;Cache;6154;6030
2297985;Train;6154;6030
2297994;Cache;5103;5101
2298003;Cache;5524;4682
2298003;Dust2;5524;4682
2297974;Inferno;4494;4608
2298012;Mirage;6369;6370
2297991;Mirage;5105;5137
2297975;Inferno;4494;4991
2297977;Inferno;5991;5996
2297986;Train;5284;5988
2297986;Inferno;5284;5988
2298022;Cache;6073;6369
2298016;Mirage;6363;4532
2297995;Dust2;5058;5142
2298017;Overpass;4736;4532
2298023;Train;6371;6370
2298042;Dust2;6073;6371
2298001;Cache;6191;5005
2298010;Cobblestone;6321;6367
2298000;Overpass;5974;5005
2297998;Inferno;5974;6132
2297999;Train;5973;6292
2298037;Cache;6132;6364
2298037;Mirage;6132;6364
2298037;Inferno;6132;6364
2298025;Dust2;5105;5135
2298045;Mirage;5595;4532
2298045;Dust2;5595;4532
2298045;Cache;5595;4532
2298030;Dust2;5144;5103
2298013;Dust2;6226;5716
2298013;Cobblestone;6226;5716
2298013;Cache;6226;5716
2298013;Inferno;6226;5716
2298026;Dust2;5115;5135
2298031;Cobblestone;5058;5144
2298018;Train;5284;5991
2298027;Cache;5115;5105
2298038;Dust2;6137;5996
2298032;Inferno;5111;5144
2298043;Mirage;6051;6374
2298019;Inferno;4991;5995
2298028;Mirage;5139;5105
2298039;Inferno;4411;6137
2298059;Mirage;4548;5319
2298059;Cache;4548;5319
2298061;Cache;5801;6328
2298061;Mirage;5801;6328
2298046;Dust2;6373;4682
2298046;Mirage;6373;4682
2298046;Cache;6373;4682
2298033;Mirage;5111;5058
2298015;Mirage;5009;4689
2298015;Dust2;5009;4689
2298020;Inferno;4991;5996
2298040;Cobblestone;5310;4494
2298056;Cache;5422;5208
2298056;Dust2;5422;5208
2298034;Cobblestone;5103;5142
2298044;Cobblestone;5034;6368
2298021;Dust2;5284;5996
2298041;Inferno;6137;4494
2298060;Cache;5319;5995
2298060;Mirage;5319;5995
2298035;Mirage;5058;5103
2298063;Train;6374;5034
2298029;Cache;5137;5139
2298062;Mirage;5595;6373
2298076;Dust2;6374;6368
2298065;Cobblestone;6292;6170
2298065;Cache;6292;6170
2298051;Inferno;5973;6301
2297614;Cache;6290;5974
2297614;Mirage;6290;5974
2298050;Mirage;6132;5005
2298052;Inferno;6321;6191
2298049;Cobblestone;6321;6292
2298053;Inferno;6364;6366
2298047;Dust2;6290;6132
2298047;Overpass;6290;6132
2298048;Cobblestone;6321;5005
2298054;Cobblestone;6261;6366
2298055;Cobblestone;5974;6292
2298066;Dust2;5143;5141
2298077;Dust2;4532;4682
2298077;Mirage;4532;4682
2298077;Cache;4532;4682
2298057;Cache;4573;6045
2298057;Dust2;4573;6045
2298057;Train;4573;6045
2298058;Train;6375;6033
2298058;Dust2;6375;6033
2298067;Cache;5143;5106
2298071;Cache;5078;5107
2298081;Cache;4411;4991
2298068;Mirage;5134;5106
2298085;Inferno;6073;5034
2298085;Dust2;6073;5034
2298072;Cache;5108;5140
2298078;Mirage;6373;4682
2298069;Mirage;5138;5106
2298082;Dust2;5310;4991
2298073;Mirage;5108;5107
2298070;Mirage;5138;5136
2298079;Mirage;4532;4682
2298079;Cache;4532;4682
2298080;Dust2;5208;6138
2298080;Mirage;5208;6138
2298080;Train;5208;6138
2298083;Mirage;5284;5991
2298094;Cobblestone;6375;4573
2298094;Dust2;6375;4573
2298094;Mirage;6375;4573
2298074;Mirage;5133;5107
2298084;Train;4991;5996
2298086;Dust2;6369;6368
2298086;Cobblestone;6369;6368
2298086;Mirage;6369;6368
2298075;Dust2;5133;5109
2298095;Train;6290;6334
2298095;Cache;6290;6334
2298095;Mirage;6290;6334
2298093;Inferno;5752;6321
2298091;Inferno;6261;5005
2298092;Train;5752;6132
2298005;Train;6261;5973
2298005;Cobblestone;6261;5973
2298090;Mirage;5974;6191
2298088;Mirage;6132;6164
2298088;Dust2;6132;6164
2298089;Overpass;5974;6321
2298100;Mirage;6292;6290
2298100;Inferno;6292;6290
2298100;Cache;6292;6290
2298096;Dust2;6192;6353
2298097;Cobblestone;6109;6353
2298098;Dust2;6350;5176
2298099;Dust2;6108;6350
2298105;Dust2;6045;6033
2298105;Cache;6045;6033
2298103;Cache;6073;6368
2298106;Inferno;4573;6045
2298106;Overpass;4573;6045
2298106;Dust2;4573;6045
2298104;Dust2;5034;6369
2298104;Cache;5034;6369
2298102;Cache;5595;5319
2298102;Mirage;5595;5319
2298107;Inferno;5991;6155
2298111;Mirage;6354;6378
2298108;Cobblestone;5422;6211
2298112;Cache;5258;6378
2298113;Inferno;6342;6355
2298116;Mirage;5991;5422
2298117;Dust2;6155;6211
2298114;Cobblestone;6349;6342
2298118;Mirage;5422;6155
2298109;Overpass;5996;4548
2298115;Mirage;5310;4554
2298115;Cobblestone;5310;4554
2298110;Inferno;5995;6137
2298125;Mirage;6302;5579
2298125;Dust2;6302;5579
2298119;Dust2;5996;5995
2298120;Cobblestone;4548;6137
2298126;Mirage;5974;6301
2298126;Train;5974;6301
2298121;Mirage;5995;4548
2298128;Dust2;6364;5974
2298128;Cache;6364;5974
2298128;Mirage;6364;5974
2298122;Mirage;5422;5996
2298122;Overpass;5422;5996
2298036;Cache;6237;6167
2298036;Dust2;6237;6167
2298123;Mirage;5991;4548
2298123;Cobblestone;5991;4548
2298127;Overpass;6375;5319
2298127;Cobblestone;6375;5319
2298129;Mirage;5988;6133
2298129;Cobblestone;5988;6133
2298124;Dust2;5996;5991
2298124;Inferno;5996;5991
2298134;Inferno;5988;5319
2298134;Overpass;5988;5319
2298135;Dust2;6321;5005
2298135;Train;6321;5005
2298136;Dust2;6290;6366
2298153;Cobblestone;6261;6334
2298153;Mirage;6261;6334
2298153;Cache;6261;6334
2298130;Cache;6380;5290
2298130;Inferno;6380;5290
2298131;Cache;6214;5603
2298131;Inferno;6214;5603
2298132;Mirage;6379;5606
2298132;Dust2;6379;5606
2298133;Cobblestone;4784;5680
2298133;Overpass;4784;5680
2298137;Inferno;5208;6384
2298137;Mirage;5208;6384
2298140;Mirage;6383;5445
2298140;Cache;6383;5445
2298140;Dust2;6383;5445
2298142;Cache;6091;6297
2298141;Cache;5195;4477
2298141;Mirage;5195;4477
2298144;Mirage;6225;6114
2298139;Mirage;5395;6382
2298139;Inferno;5395;6382
2298163;Cache;5445;5195
2298138;Dust2;5579;6133
2298138;Overpass;5579;6133
2298162;Mirage;6298;5617
2298155;Inferno;6385;6290
2298155;Cache;6385;6290
2298158;Train;5005;6321
2298157;Dust2;6101;6301
2298154;Train;6385;6191
2298154;Cache;6385;6191
2298156;Cache;6132;6301
2298160;Cache;6010;5603
2298160;Mirage;6010;5603
2298160;Inferno;6010;5603
2298145;Dust2;5752;4475
2298145;Cache;5752;4475
2298161;Inferno;6379;5680
2298161;Cobblestone;6379;5680
2298146;Cache;5422;4791
2298146;Inferno;5422;4791
2298164;Mirage;6302;6137
2298164;Overpass;6302;6137
2298178;Cache;5395;4982
2298178;Mirage;5395;4982
2298185;Inferno;5752;5422
2298185;Cache;5752;5422
2298167;Cache;4477;6383
2298167;Mirage;4477;6383
2298167;Cobblestone;4477;6383
2298170;Train;4608;5996
2298174;Dust2;6030;4689
2298174;Inferno;6030;4689
2298187;Cobblestone;6326;4532
2298187;Cache;6326;4532
2298171;Cobblestone;4608;4991
2298175;Dust2;6226;6382
2298175;Inferno;6226;6382
2298172;Dust2;4411;4991
2298186;Mirage;4475;4791
2298186;Dust2;4475;4791
2298166;Mirage;6133;6226
2298166;Dust2;6133;6226
2298173;Train;4411;5996
2298188;Dust2;6375;6221
2298188;Overpass;6375;6221
2298168;Mirage;5445;4477
2298177;Cache;5995;5395
2298177;Mirage;5995;5395
2298169;Cache;6383;5445
2298169;Overpass;6383;5445
2298183;Cobblestone;6117;6292
2298181;Inferno;6321;6301
2298180;Cache;6261;6290
2298184;Dust2;6132;6301
2298184;Mirage;6132;6301
2298189;Inferno;6165;6292
2298179;Inferno;6261;6321
2298182;Mirage;6101;6334
2298147;Train;5988;4548
2298147;Mirage;5988;4548
2298148;Dust2;5974;6372
2298148;Overpass;5974;6372
2298148;Mirage;5974;6372
2298201;Cobblestone;6220;4532
2298201;Mirage;6220;4532
2298190;Train;6137;6384
2298190;Mirage;6137;6384
2298197;Dust2;5009;5195
2298197;Mirage;5009;5195
2298203;Cache;5988;5974
2298203;Train;5988;5974
2298199;Train;5995;6226
2298199;Dust2;5995;6226
2298202;Cobblestone;6287;4982
2298202;Cache;6287;4982
2298191;Inferno;5319;6133
2298191;Train;5319;6133
2298198;Train;6154;5093
2298198;Cache;6154;5093
2298206;Mirage;4532;4982
2298192;Overpass;6226;6302
2298192;Train;6226;6302
2298200;Cache;6382;5995
2298200;Dust2;6382;5995
2298204;Cache;4548;6372
2298204;Mirage;4548;6372
